yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
   85,   3.1410,  13.0328,  16.2200,  -1.3353, 123.1131,   1.2477,   3.4264,   1.3411, 139.4788, 6.7487e+03,   796,  1.09369 
   86,   3.1450,  22.3532,  24.2823, -10.3566,  35.8909, 121.6939,  29.8979, 122.4910,  76.2702, 6.7488e+03,   796,  1.20613 
   87,   3.1490,  25.0422,  22.9972, -12.3765,  33.7116, 131.6580,  26.8181, 132.5136,  63.3124, 7.0068e+03,   796,  0.79607 
   88,   3.1530,  19.8137,  27.0104,  -8.6954,  54.5588,  23.6329,  14.5169,  24.2980,  49.6737, 6.9966e+03,   796,  1.09168 
   89,   3.1570,  18.9790,  12.8168,  -2.3953, 210.5849,   1.2661,   1.5378,   0.6612, 116.3256, 6.0341e+03,   796,  0.93239 
   90,   3.1610,  17.0138,  13.1032,  -1.6045, 154.7498,   1.4277,   2.1212,   0.9175, 133.0503, 7.9709e+03,   796,  0.88566 
   91,   3.1650,  18.6676,  14.9452,  -3.0179,  78.9349,   1.5416,   2.4887,   1.8325,  37.8040, 6.0952e+03,   796,  0.83632 
   92,   3.1690,  40.5666,  23.4555, -26.7338,  26.2861, 5514.2595, 188.9192, 5515.2995, 298.7584, 8.2658e+03,   796,  1.04219 
   93,   3.1730,  43.8309,  30.4712, -31.8090,  36.2804,  39.5008,   4.2118,  39.5222,   5.8474, 6.8269e+03,   796,  1.06647 
   94,   3.1770,  14.6606,  17.7590,   0.3620, 899063.2148,   1.0899,   2.7733,   0.6998, 12762283783.5813, 8.5036e+03,   796,  1.42034 
   95,   3.1810,  25.2647,  31.9229, -12.9118,  55.6480,  48.0925,  19.7385,  48.6742,  55.1247, 5.9111e+03,   796,  0.66214 
   96,   3.1850,  16.0334,  23.8040,  -2.3761, 120.5518,   2.5485,   5.5277,   3.0336, 140.1544, 7.5303e+03,   796,  1.12490 
   97,   3.1890,  50.6537,  30.7888, -36.6719,  38.6251,  39.2858,   3.7086,  39.3289,   5.4183, 6.7929e+03,   796,  0.89726 
   98,   3.1930,  25.7402,  25.9702, -10.7981,  51.9791,  24.2952,  10.9935,  24.9923,  38.3902, 7.2691e+03,   796,  0.94096 
   99,   3.1970,  20.6239,  14.5534,  -1.3502, 375.3646,   1.2473,   1.6719,   0.6971, 645.9935, 7.6460e+03,   796,  1.07080 
  100,   3.2010,  54.0107,  26.6563, -34.9207,  36.1569, 277.8780,  23.1885, 278.6971,  41.1418, 7.7421e+03,   796,  0.98933 
  101,   3.2050,  53.1124,  26.9377, -31.7266,  42.3511,  79.0823,  10.6172,  79.7774,  22.2497, 6.3517e+03,   796,  0.67514 
  102,   3.2090,  52.5259,  27.8292, -30.4415,  42.8253,  97.3979,  12.8473,  98.1184,  27.6014, 7.0383e+03,   796,  0.69000 
  104,   3.2170,  40.1373,  19.1423,  -8.8740,  98.5489,   2.1338,   1.7839,   2.6119,  24.5024, 8.7718e+03,   796,  1.28204 
  105,   3.2210,  37.2046,  18.2577,  -7.0754, 113.9379,   1.6766,   1.6690,   2.0227,  32.3702, 8.8328e+03,   796,  1.32727 
  106,   3.2250,  35.8680,  22.0197, -11.2933,  59.9531,   7.4076,   3.5690,   8.0554,  19.6675, 6.6265e+03,   796,  0.62429 
  107,   3.2290,  25.7809,  16.3903,  -3.8098, 112.6130,   1.3116,   1.8080,   1.4783,  45.2230, 6.7013e+03,   796,  0.93616 
  108,   3.2330,  67.3405,  30.2797, -49.0262,  38.9551,  39.2348,   2.8652,  39.2934,   4.2583, 6.7805e+03,   796,  0.97937 
  109,   3.2370,  35.5006,  23.1021, -19.0495,  28.9976, 650.6125,  52.2779, 651.5555, 106.1146, 7.3953e+03,   796,  1.23552 
  110,   3.2410,  81.1242,  26.9330, -64.0903,  30.3692, 4451.8303,  92.2090, 4452.6994, 122.6395, 7.5937e+03,   796,  1.13168 
  112,   3.2490,  55.8808,  39.5046, -43.0255,  48.1847,  36.1720,   3.7548,  36.1916,   5.1818, 5.7379e+03,   796,  1.00715 
  113,   3.2530,  62.3283,  33.1921, -48.5788,  40.7967,  39.4001,   3.1465,  39.4299,   4.2320, 6.7914e+03,   796,  0.76307 
  114,   3.2570,  46.3177,  33.1242, -32.3221,  45.9833, 227.7174,  29.1622, 228.3481,  50.6281, 6.3250e+03,   796,  0.57757 
  115,   3.2610,  50.4138,  33.2608, -38.0426,  39.0309,  37.9663,   3.8513,  37.9806,   5.1339, 6.2915e+03,   796,  1.14336 
  116,   3.2650,  49.2720,  40.2557, -38.9265,  47.3132,  39.1177,   4.7975,  39.1296,   6.2272, 6.6929e+03,   796,  1.05321 
  118,   3.2730,  40.0200,  39.6817, -28.3147,  49.1876, 865.7239,  96.1886, 866.2818, 157.0831, 5.6985e+03,   796,  0.99785 
  119,   3.2770,  53.8048,  37.0961, -41.6081,  45.4446,  38.8232,   3.9544,  38.8476,   5.4155, 6.6119e+03,   796,  0.69797 
  120,   3.2810,  57.8868,  37.3357, -44.8853,  46.6947,  38.5868,   3.7519,  38.6181,   5.2485, 6.5446e+03,   796,  1.36188 
  121,   3.2850,  31.0387,  31.6445, -18.7614,  42.8191, 281.3912,  47.2790, 282.0525,  92.2707, 6.4572e+03,   796,  0.87296 
  122,   3.2890,  49.4213,  39.7615, -38.5846,  49.1531,  37.2937,   4.4481,  37.3178,   6.1483, 6.1273e+03,   796,  0.68063 
  123,   3.2930,  44.5450,  41.4101, -34.3725,  50.7174,  40.1218,   5.4884,  40.1438,   7.6266, 7.1078e+03,   796,  1.01056 
  124,   3.2970,  58.8468,  42.6443, -47.3284,  52.9104,  41.1132,   4.4240,  41.1378,   6.0265, 7.4285e+03,   796,  0.93600 
  125,   3.3010,  47.4913,  32.3333, -33.7338,  38.7226,  44.8458,   4.5966,  44.8707,   6.5899, 8.8045e+03,   796,  1.43240 
  126,   3.3050,  42.9550,  43.8360, -31.5641,  54.9862, 860.9776, 103.1796, 861.5248, 166.5383, 6.0964e+03,   796,  0.80034 
  127,   3.3090,  64.1215,  42.2056, -52.3431,  50.4967,  38.6046,   3.7345,  38.6186,   4.8027, 6.5107e+03,   796,  1.11119 
  128,   3.3130,  55.6821,  41.7297, -43.7637,  51.4475,  40.7180,   4.5058,  40.7414,   6.2119, 7.2871e+03,   796,  1.14498 
  129,   3.3170,  62.3237,  44.1559, -49.0131,  53.3230,  41.4043,   4.3042,  41.4206,   5.8329, 7.5052e+03,   796,  1.28168 
  131,   3.3250,  30.4266,  38.2672, -16.2710,  68.8977,  52.3472,  21.7362,  52.8896,  64.5695, 6.2656e+03,   796,  0.94128 
  132,   3.3290,  50.2346,  38.6714, -34.2185,  52.8348, 308.3594,  39.4977, 308.9480,  71.9169, 6.4975e+03,   796,  0.96687 
  133,   3.3330,  78.7080,  38.8198, -60.7049,  47.2925,  36.1182,   2.6146,  36.1376,   3.5936, 5.6956e+03,   796,  0.87108 
  134,   3.3370,  55.8339,  39.0201, -37.2250,  57.3057, 180.3590,  26.1479, 180.9567,  51.8054, 7.0175e+03,   796,  1.18488 
  135,   3.3410,  73.2841,  36.1668, -51.4117,  46.6011,  41.4553,   3.2566,  41.5052,   5.1775, 7.5723e+03,   796,  1.03202 
  136,   3.3450,  58.7886,  35.6193, -32.5843,  57.1557,  86.2658,  13.8127,  86.8424,  34.5228, 6.2350e+03,   796,  1.10942 
  137,   3.3490, 195.3689,  39.2596, -165.8543,  44.2514, 5188.7023,  63.9494, 5189.3356,  81.2287, 6.8848e+03,   796,  1.36608 
  138,   3.3530,  68.4448,  33.1202, -34.7153,  53.2535,  79.2955,  10.3418,  79.8960,  27.5930, 6.2618e+03,   796,  0.91533 
