yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
   81,   3.1250,  23.0937,  21.7271, -11.1421,  33.3167,  91.9200,  22.0600,  92.7800,  53.7900, 6.6707e+03,   796,  1.07242 
   82,   3.1290,  28.4697,  19.2690, -15.4719,  25.8602, 315.9000,  35.5900, 317.1000,  71.7700, 7.5254e+03,   796,  0.74494 
   83,   3.1330,  24.9684,  22.2084, -13.0114,  33.7117, 102.5000,  22.5400, 103.4000,  50.8200, 7.1860e+03,   796,  0.67819 
   84,   3.1370,  18.9138,  23.3588,  -9.3524,  31.8600, 255.7000,  55.2300, 256.6000, 125.5000, 7.5126e+03,   796,  1.09609 
   85,   3.1410,  13.0294,  16.2150,  -1.3317, 123.6180,   1.2450,   3.4230,   1.3360, 140.5000, 6.7487e+03,   796,  1.09368 
   86,   3.1450,  20.4031,  23.7211,  -8.3862,  37.3279,  77.8300,  24.5100,  78.6200,  72.2400, 6.7489e+03,   796,  1.20614 
   87,   3.1490,  22.7747,  22.4572, -10.0861,  34.9902,  84.2800,  22.0700,  85.1300,  59.4300, 7.0069e+03,   796,  0.79608 
   88,   3.1530,  20.7167,  27.5263,  -9.6219,  52.8631,  29.5300,  16.0500,  30.2000,  50.1200, 6.9966e+03,   796,  1.09168 
   89,   3.1570,  18.9877,  12.8024,  -2.3915, 211.1290,   1.2670,   1.5350,   0.6598, 117.0000, 6.0341e+03,   796,  0.93239 
   90,   3.1610,  17.0175,  13.0981,  -1.6038, 154.7510,   1.4280,   2.1210,   0.9173, 133.2000, 7.9709e+03,   796,  0.88566 
   91,   3.1650,  18.6685,  14.9508,  -3.0214,  78.8707,   1.5440,   2.4920,   1.8360,  37.7700, 6.0952e+03,   796,  0.83632 
   92,   3.1690,  22.5290,  21.8584,  -8.6426,  27.9409, 550.9000,  72.3000, 552.0000, 204.3000, 8.2671e+03,   796,  1.04235 
   93,   3.1730,   7.3504,  17.4721,   5.7331,  17.3146,   0.0000,   0.0000,   0.0000,   0.0000, 6.9274e+03,   796,  1.08215 
   94,   3.1770,  20.9403,  19.5468,  -6.5789,  18.6468,   0.0000, 1900.0000,   0.0000, 6222.0000, 8.5618e+03,   796,  1.43006 
   95,   3.1810,  24.2499,  31.4815, -11.8826,  56.9010,  39.9100,  18.2000,  40.4900,  54.1900, 5.9111e+03,   796,  0.66214 
   96,   3.1850,  16.0343,  23.8056,  -2.3772, 120.4950,   2.5520,   5.5350,   3.0380, 140.2000, 7.5303e+03,   796,  1.12490 
   97,   3.1890,  44.6371,  30.2701, -30.6455,  39.4243, 417.1000,  40.6000, 417.8000,  67.1100, 6.7931e+03,   796,  0.89729 
   98,   3.1930,  25.3838,  25.8003, -10.4288,  52.5469,  22.5600,  10.6500,  23.2600,  38.3000, 7.2691e+03,   796,  0.94096 
   99,   3.1970,  20.6237,  14.5489,  -1.3477, 377.5340,   1.2470,   1.6710,   0.6960, 654.1000, 7.6460e+03,   796,  1.07080 
  100,   3.2010,  47.0483,  25.9634, -27.9266,  37.4107, 161.5000,  18.5700, 162.3000,  36.7200, 7.7424e+03,   796,  0.98936 
  101,   3.2050,  49.6408,  26.4311, -28.2178,  43.4395,  59.7400,   9.4510,  60.4300,  21.2200, 6.3518e+03,   796,  0.67516 
  102,   3.2090,  48.4984,  27.2433, -26.3771,  44.1302,  69.5700,  11.1500,  70.2900,  26.1500, 7.0385e+03,   796,  0.69002 
  104,   3.2170,  40.1373,  19.1421,  -8.8738,  98.5503,   2.1350,   1.7850,   2.6130,  24.5200, 8.7718e+03,   796,  1.28204 
  105,   3.2210,  37.2031,  18.2568,  -7.0737, 113.9690,   1.6770,   1.6700,   2.0230,  32.4000, 8.8328e+03,   796,  1.32727 
  106,   3.2250,  35.8751,  22.0235, -11.3014,  59.9349,   7.4210,   3.5760,   8.0690,  19.6600, 6.6265e+03,   796,  0.62429 
  107,   3.2290,  25.7816,  16.3920,  -3.8112, 112.5680,   1.3120,   1.8090,   1.4800,  45.2200, 6.7013e+03,   796,  0.93616 
  108,   3.2330,  34.9825,  26.1142, -16.4807,  47.3389,  36.5100,  10.0900,  37.2100,  29.1200, 6.7880e+03,   796,  0.98046 
  109,   3.2370,  30.9152,  22.6350, -14.4490,  29.8939, 354.3000,  40.2100, 355.3000,  94.9100, 7.3955e+03,   796,  1.23555 
  110,   3.2410,   0.0000,  93.8381,   1.3101,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 7.3955e+03,   796,  1.10214 
  112,   3.2490,  52.2311,  39.2137, -39.3733,  48.6089, 858.1000,  72.6300, 858.7000, 110.1000, 5.7380e+03,   796,  1.00718 
  113,   3.2530,  59.4013,  33.0097, -45.6487,  41.0508, 771.4000,  49.7700, 772.0000,  72.3000, 6.7916e+03,   796,  0.76309 
  114,   3.2570,  39.9890,  32.1719, -25.9702,  47.7259, 131.3000,  23.3200, 131.9000,  45.0700, 6.3252e+03,   796,  0.57759 
  115,   3.2610,  48.7133,  33.1548, -36.3403,  39.1605, 1645.0000,  98.0100, 1646.0000, 141.9000, 6.2916e+03,   796,  1.14337 
  116,   3.2650,  59.2658,  12.2054, -55.7392,   9.3149, 657.3000,  16.5600, 654.0000,  17.1100, 6.7939e+03,   796,  1.06911 
  118,   3.2730,  33.7477,  38.8326, -22.0364,  50.6186, 462.1000,  74.7200, 462.7000, 135.9000, 5.6987e+03,   796,  0.99789 
  119,   3.2770,  48.8349,  36.6916, -36.6350,  46.0461, 734.7000,  66.3300, 735.3000, 100.9000, 6.6121e+03,   796,  0.69799 
  120,   3.2810,  52.2700,  36.8587, -39.2631,  47.4110, 544.8000,  51.4200, 545.4000,  79.6500, 6.5448e+03,   796,  1.36193 
  121,   3.2850,  26.9582,  30.8331, -14.6679,  44.4995, 158.1000,  37.0800, 158.8000,  82.9800, 6.4574e+03,   796,  0.87298 
  122,   3.2890,  43.4437,  39.1533, -32.6031,  50.0790, 597.9000,  70.0100, 598.5000, 109.3000, 6.1276e+03,   796,  0.68066 
  123,   3.2930,  37.8863,  40.6324, -27.7095,  51.9084, 680.3000,  93.9600, 680.9000, 151.4000, 7.1080e+03,   796,  1.01060 
  124,   3.2970,  27.4083,  37.0123, -15.8297,  63.6427,  67.9400,  28.0000,  68.5500,  72.3200, 7.4350e+03,   796,  0.93682 
  125,   3.3010,  41.7432,  31.8938, -27.9810,  39.3863, 946.1000,  81.2900, 946.9000, 134.1000, 8.8047e+03,   796,  1.43244 
  126,   3.3050,  36.0835,  42.8408, -24.6868,  56.6696, 459.8000,  80.2500, 460.3000, 143.9000, 6.0967e+03,   796,  0.80037 
  127,   3.3090,  63.0774,  42.1348, -51.2976,  50.5800, 1579.0000, 100.1000, 1580.0000, 138.5000, 6.5108e+03,   796,  1.11120 
  128,   3.3130,  49.3297,  41.1383, -37.4070,  52.3315, 734.6000,  77.3800, 735.2000, 120.1000, 7.2873e+03,   796,  1.14502 
  129,   3.3170,  58.0706,  43.8365, -44.7580,  53.7850, 1283.0000, 102.8000, 1284.0000, 153.9000, 7.5054e+03,   796,  1.28171 
  131,   3.3250,  31.1837,  38.5709, -17.0356,  68.0124,  58.2400,  22.8600,  58.7800,  65.1100, 6.2656e+03,   796,  0.94128 
  132,   3.3290,  43.1744,  37.5992, -27.1395,  54.8948, 173.7000,  31.1500, 174.3000,  64.1100, 6.4977e+03,   796,  0.96691 
  133,   3.3330,  81.2715,  38.9414, -63.2682,  47.1046, 1205.0000,  57.4800, 1206.0000,  82.6900, 5.6955e+03,   796,  0.87106 
  134,   3.3370,  49.2813,  37.9247, -30.6428,  59.5839, 111.6000,  21.3600, 112.2000,  47.5400, 7.0177e+03,   796,  1.18492 
  135,   3.3410,  66.8580,  35.6936, -44.9764,  47.4070, 402.9000,  32.7800, 403.5000,  57.7300, 7.5725e+03,   796,  1.03206 
  136,   3.3450,  54.6524,  34.9020, -28.4168,  59.0575,  63.0300,  12.0500,  63.6000,  33.2700, 6.2351e+03,   796,  1.10945 
  137,   3.3490, 114.1610,  37.5101, -84.6240,  46.7076, 846.9000,  32.1800, 847.6000,  49.4300, 6.8866e+03,   796,  1.36642 
