yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
  171,   3.4850, -41.2362,  29.4879,  11.9683,  86.9398,   8.6504,   4.4731,   9.1374,  36.5847, 8.0509e+03,   803,  1.05762 
  172,   3.4890, -44.9030,  27.8080,  12.8032,  71.1367,  11.8712,   4.5994,  12.4069,  31.4075, 8.6249e+03,   803,  0.99174 
  174,   3.4970, -48.8574,  27.6652,  15.6664,  66.4954,  12.6151,   4.1126,  13.1043,  23.3659, 6.9599e+03,   803,  0.91179 
  175,   3.5010, -47.7805,  27.9359,  14.9569,  69.5257,  11.8116,   4.1557,  12.3062,  25.1986, 7.2534e+03,   803,  1.29220 
  176,   3.5050, -44.3401,  27.0462,  12.4023,  78.2091,   7.4108,   3.3421,   7.8671,  26.0357, 6.6569e+03,   803,  0.94748 
  177,   3.5090, -42.6397,  27.7095,  11.8951,  78.4640,   7.9743,   3.6915,   8.4286,  28.6617, 6.6036e+03,   803,  0.96995 
  178,   3.5130, -37.3980,  24.9306,   7.3628, 114.6513,   2.9969,   2.4565,   3.3997,  44.8279, 7.2787e+03,   803,  0.74286 
  179,   3.5170, -40.3124,  25.2140,   8.0257, 116.6361,   2.9451,   2.2588,   3.3367,  41.4931, 7.0688e+03,   803,  1.09302 
  180,   3.5210, -41.4634,  27.4278,  10.9653, 101.6711,   4.5702,   2.8847,   4.9892,  32.3052, 6.7784e+03,   803,  0.71310 
  181,   3.5250, -40.4251,  29.5033,  11.6561,  89.9098,   7.5493,   4.1304,   8.0014,  35.3847, 7.0746e+03,   803,  1.00694 
  182,   3.5290, -42.2163,  27.9832,  11.6975,  79.5986,   9.3433,   4.4141,   9.8730,  34.9220, 9.0557e+03,   803,  1.38795 
  183,   3.5330, -44.4268,  28.6051,  14.3533,  77.5618,  11.1571,   4.7803,  11.7101,  31.2328, 9.7083e+03,   803,  0.96458 
  185,   3.5410, -42.1935,  27.1743,  12.1074,  76.4674,   7.6289,   3.5069,   8.0699,  25.9334, 6.1264e+03,   803,  0.87979 
  186,   3.5450, -38.0636,  25.1364,   8.2357, 119.2882,   2.6307,   2.1762,   2.9912,  38.0274, 5.9856e+03,   803,  0.77733 
  187,   3.5490, -36.9133,  24.8793,   7.0118, 111.5691,   2.7809,   2.2614,   3.1465,  41.2685, 5.8633e+03,   803,  0.65275 
  188,   3.5530, -40.4943,  28.9691,  12.6001,  84.0310,   8.2232,   4.2170,   8.6840,  31.1344, 7.1596e+03,   803,  0.95144 
  189,   3.5570, -37.0868,  25.3477,   7.5528, 105.6638,   3.5316,   2.7008,   3.9511,  42.5230, 7.2343e+03,   803,  1.38718 
  190,   3.5610, -37.7210,  25.3748,   7.8819,  86.3337,   4.9413,   3.0552,   5.3863,  36.5121, 6.9008e+03,   803,  0.77635 
  191,   3.5650, -41.0323,  27.9201,  11.6535,  80.0167,   7.8999,   3.8698,   8.3563,  30.0732, 6.7434e+03,   803,  1.21038 
  192,   3.5690, -51.4102,  29.7756,  19.8933,  63.8472,  21.0524,   5.7664,  21.5798,  25.2962, 7.9246e+03,   803,  1.36942 
  193,   3.5730, -42.2858,  27.1581,  11.4314,  75.5106,   8.7468,   3.9522,   9.2402,  30.6087, 7.6027e+03,   803,  1.38362 
  194,   3.5770, -41.3766,  28.4892,  12.3465,  84.8740,   6.8785,   3.5301,   7.2949,  27.6854, 5.8860e+03,   803,  0.82662 
  195,   3.5810, -48.5866,  33.8183,  21.3231,  70.6778,  26.3193,   7.9787,  26.8201,  32.1501, 7.7503e+03,   803,  1.19364 
  196,   3.5850, -44.5784,  30.8522,  16.6645,  75.1185,  13.9677,   5.4200,  14.4456,  28.5949, 7.1581e+03,   803,  1.28870 
  197,   3.5890, -38.2264,  27.1598,   9.8612,  84.5189,   7.4420,   4.2440,   7.9661,  39.0728, 9.2503e+03,   803,  0.91733 
  198,   3.5930, -37.0246,  21.6242,   4.6126, 102.0976,   2.2783,   1.8531,   2.6412,  48.0291, 6.3393e+03,   803,  0.92492 
  199,   3.5970, -41.8591,  26.8251,  11.1497,  68.1080,  11.3713,   4.5828,  11.9007,  32.5101, 8.1713e+03,   803,  1.10848 
  201,   3.6050, -47.5659,  30.4260,  17.5860,  69.9746,  16.4629,   5.4877,  16.9561,  27.3351, 7.3233e+03,   803,  0.94510 
  202,   3.6090, -50.3406,  27.6836,  17.9567,  60.9619,  18.2524,   5.0706,  18.8019,  23.8363, 8.2382e+03,   803,  1.09026 
  203,   3.6130, -41.2673,  24.7977,   9.0819,  78.5379,   5.9699,   3.0870,   6.4613,  31.7161, 7.8644e+03,   803,  0.63934 
  204,   3.6170, -40.2209,  25.5176,   8.3516,  84.5822,   5.6250,   3.1793,   6.1069,  37.2586, 7.9505e+03,   803,  1.49039 
  205,   3.6210, -43.2581,  27.7784,  11.4650,  86.5352,   6.8205,   3.4761,   7.2863,  31.7352, 7.3916e+03,   803,  1.16352 
  206,   3.6250, -47.7451,  28.6000,  15.9642,  63.7687,  18.7953,   5.7332,  19.3576,  29.5868, 8.9268e+03,   803,  1.27314 
  207,   3.6290, -49.2962,  25.6689,  14.9949,  57.2640,  16.6784,   4.5923,  17.2541,  24.6633, 8.6276e+03,   803,  1.22223 
  208,   3.6330, -51.1845,  28.8528,  18.8703,  58.3535,  25.5055,   6.2414,  26.0534,  26.8089, 8.0602e+03,   803,  1.21073 
  209,   3.6370, -52.8648,  28.9327,  20.7044,  60.8644,  23.3762,   5.9240,  23.9490,  24.8563, 9.0333e+03,   803,  0.92361 
  212,   3.6490, -50.0260,  26.7262,  16.4036,  61.0846,  15.4939,   4.4819,  16.0403,  23.2931, 8.0967e+03,   803,  0.80782 
  213,   3.6530, -39.9180,  25.7471,   8.4912,  90.8292,   4.6743,   2.8520,   5.1107,  35.3723, 6.8659e+03,   803,  0.91503 
  214,   3.6570, -39.1350,  24.3596,   7.3665,  91.2181,   4.2852,   2.7737,   4.7537,  39.8461, 8.1791e+03,   803,  1.18621 
  215,   3.6610, -42.7389,  26.0797,  11.7127,  65.1727,  10.3201,   3.9211,  10.7996,  26.1619, 6.5609e+03,   803,  0.83310 
